City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,aracena,37.894,-6.5612,94.23,10,0,10.07,ES,1691690572
83,okha,53.5739,142.9478,52.21,95,100,7.99,RU,1691690573
84,tiksi,71.6872,128.8694,59.22,50,2,6.04,RU,1691690509
85,udachny,66.4167,112.4,62.46,82,96,4.94,RU,1691690555
86,nizhnesortymskiy,62.4397,71.7603,51.37,68,67,19.53,RU,1691690574
87,callao,-12.0667,-77.15,73.72,68,100,12.66,PE,1691690575
88,sao vicente,-23.9631,-46.3919,86.18,59,75,6.91,BR,1691690575
89,brandon,27.9378,-82.2859,98.1,66,40,8.01,US,1691690398
90,iskateley,67.6803,53.1512,54.05,77,1,8.16,RU,1691690576
91,hithadhoo,-0.6,73.0833,82.17,77,94,10.18,MV,1691690576
92,baker city,44.7749,-117.8344,71.58,43,0,4.61,US,1691690576
93,port saint john's,-31.6229,29.5448,65.26,84,0,16.51,ZA,1691690511
94,crane,31.3974,-102.3501,102.27,16,0,6.44,US,1691690549
95,jiazi,22.8779,116.067,82.11,84,100,8.95,CN,1691690577
96,keflavik,64.0049,-22.5624,64.31,77,75,14.97,IS,1691690578
97,tidjikja,18.5564,-11.4271,105.96,13,36,20.42,MR,1691690578
98,salavan,15.7167,106.4167,76.75,87,78,2.24,LA,1691690578
99,talnakh,69.4865,88.3972,56.21,66,52,18.86,RU,1691690579
100,aasiaat,68.7098,-52.8699,37.81,90,100,8.93,GL,1691690579
101,fortuna,40.5982,-124.1573,64.65,97,100,5.75,US,1691690580
102,antonio enes,-16.2325,39.9086,71.51,77,3,10.49,MZ,1691690580
103,krasnozerskoye,53.9828,79.2374,59.38,85,94,9.37,RU,1691690581
104,reedsburg,43.5325,-90.0026,82.09,48,75,11.5,US,1691690581
105,axim,4.8699,-2.2405,76.75,81,83,9.46,GH,1691690581
106,acarau,-2.8856,-40.12,86.47,54,46,19.98,BR,1691690582
107,gadzhiyevo,69.2551,33.3362,68.83,62,0,9.69,RU,1691690582
108,sao felix do xingu,-6.6447,-51.995,94.14,32,44,3.2,BR,1691690583
109,longyearbyen,78.2186,15.6401,49.84,81,100,2.3,SJ,1691690496
110,staraya mayna,54.6,48.95,77.11,48,1,1.77,RU,1691690584
111,pavlohrad,48.5167,35.8667,69.69,89,77,6.98,UA,1691690584
112,horta,38.5333,-28.6333,78.44,73,20,10.0,PT,1691690585
113,waddan,29.1614,16.139,87.89,27,0,8.28,LY,1691690586
114,xining,36.6167,101.7667,64.71,88,89,3.6,CN,1691690586
115,el calafate,-50.3408,-72.2768,38.66,98,100,3.62,AR,1691690587
116,yendi,9.4427,-0.0099,74.52,87,99,5.41,GH,1691690587
117,nikolayevsk-on-amure,53.1406,140.73,50.34,97,99,3.06,RU,1691690588
118,dubbo,-32.25,148.6167,35.73,93,0,9.22,AU,1691690588
119,ulladulla,-35.35,150.4667,45.16,73,2,4.32,AU,1691690589
120,kapuskasing,49.4169,-82.4331,62.69,77,75,6.91,CA,1691690368
121,morondava,-20.2833,44.2833,74.01,83,1,14.83,MG,1691690590
122,sola,-13.8833,167.55,73.65,71,100,24.25,VU,1691690591
123,ellensburg,46.9965,-120.5479,76.59,47,0,20.71,US,1691690591
124,buenaventura,3.8801,-77.0312,86.76,68,54,7.27,CO,1691690591
125,amga,60.8953,131.9608,54.23,98,14,2.59,RU,1691690565
126,urzhar,47.093,81.6294,76.91,41,13,2.66,KZ,1691690593
127,pionerskiy,54.9508,20.2275,60.64,68,94,9.04,RU,1691690593
128,baihe,22.15,107.2333,77.34,95,29,0.83,CN,1691690594
129,lesnoy,57.6198,63.0784,59.04,65,90,6.73,RU,1691690594
130,macau,22.2006,113.5461,82.2,89,40,4.61,MO,1691690594
131,rongelap,11.1635,166.8941,82.29,76,60,8.68,MH,1691690595
132,eureka,40.8021,-124.1637,64.92,89,78,3.0,US,1691690564
133,fale old settlement,-9.3852,-171.2468,82.53,71,97,11.34,TK,1691690596
134,safotu,-13.4513,-172.4018,81.21,82,100,14.14,WS,1691690597
135,naze,28.3667,129.4833,76.12,88,100,4.03,JP,1691690597
136,kisiwani,-4.1333,37.95,71.31,61,100,6.51,TZ,1691690598
137,nar'yan-mar,67.6713,53.087,54.19,78,1,8.16,RU,1691690599
138,el alto,-4.2714,-81.2147,78.46,67,12,17.78,PE,1691690599
139,vernon,50.2581,-119.2691,71.62,52,66,5.01,CA,1691690600
140,misratah,32.3754,15.0925,79.57,59,3,9.91,LY,1691690600
141,solleftea,63.1667,17.2667,58.86,97,100,6.69,SE,1691690601
142,terrace,54.5163,-128.6035,62.51,82,75,12.66,CA,1691690539
143,wailua homesteads,22.0669,-159.378,76.86,81,38,5.01,US,1691690551
144,si sa ket,14.8333,104.3333,79.93,77,73,8.34,TH,1691690602
145,badger,64.8,-147.5333,68.13,94,100,0.0,US,1691690602
146,gordonvale,-17.0936,145.7842,67.78,100,98,4.76,AU,1691690603
147,malpica,43.3228,-8.8105,84.24,56,51,11.68,ES,1691690603
148,avarua,-21.2078,-159.775,73.45,88,75,17.27,CK,1691690604
149,ipoh,4.5841,101.0829,76.95,88,20,1.14,MY,1691690604
150,atafu village,-8.5421,-172.5159,82.81,69,100,13.51,TK,1691690496
151,tura,25.5198,90.2201,75.29,98,100,4.36,IN,1691690514
152,tazovsky,67.4667,78.7,49.03,69,12,20.67,RU,1691690605
153,kudahuvadhoo,2.6708,72.8944,82.33,78,95,13.18,MV,1691690605
154,komsomol'sk,49.0097,33.6455,72.45,61,100,8.08,UA,1691690606
155,arraial do cabo,-22.9661,-42.0278,78.76,73,0,19.57,BR,1691690572
156,bichura,50.5881,107.6022,58.68,93,53,2.93,RU,1691690607
157,taraz,42.9,71.3667,79.21,38,40,6.71,KZ,1691690607
158,utrik,11.2278,169.8474,81.77,71,56,14.0,MH,1691690608
159,ibiza,38.9088,1.433,86.22,77,40,5.75,ES,1691690538
160,settat,33.0007,-7.6204,82.22,34,0,18.95,MA,1691690609
161,ribeira grande,38.5167,-28.7,79.2,65,20,10.0,PT,1691690609
162,ketchikan,55.3422,-131.6461,59.47,94,100,10.36,US,1691690417
163,kem',64.9555,34.5793,64.8,77,9,5.61,RU,1691690610
164,sechura,-5.5569,-80.8222,81.23,57,63,11.52,PE,1691690610
165,solnechnyy,50.7214,136.6319,57.51,92,100,3.44,RU,1691690611
166,porto novo,6.4965,2.6036,78.62,80,56,8.52,BJ,1691690554
167,las lomitas,-24.7096,-60.593,96.13,25,1,15.08,AR,1691690612
168,locust grove,33.346,-84.1091,82.81,64,66,4.0,US,1691690613
169,oroqen zizhiqi,50.5667,123.7167,57.42,98,3,2.01,CN,1691690613
170,tofol,5.3248,163.0078,83.25,73,31,5.84,FM,1691690589
171,yerofey pavlovich,53.9667,121.9667,63.3,70,100,3.06,RU,1691690506
172,ribeira brava,32.65,-17.0667,84.7,77,0,6.51,PT,1691690614
173,port hedland,-20.3167,118.5667,64.45,72,3,6.91,AU,1691690615
174,yanacancha,-10.2411,-76.6456,57.69,34,27,11.65,PE,1691690615
175,mount gambier,-37.8333,140.7667,47.71,92,94,5.41,AU,1691690580
176,lihue,21.9789,-159.3672,80.19,76,75,16.11,US,1691690370
177,kisangani,0.5167,25.2,76.32,80,86,3.06,CD,1691690617
178,lucapa,-8.4192,20.7447,77.72,24,34,2.8,AO,1691690617
179,berdigestyakh,62.0989,126.6992,54.25,94,0,5.26,RU,1691690618
180,kamaishi,39.2667,141.8833,76.69,93,37,8.66,JP,1691690618
181,san julian,21.0167,-102.1667,74.89,47,97,3.51,MX,1691690618
182,severo-yeniseyskiy,60.3725,93.0408,54.64,90,100,3.76,RU,1691690619
183,thunder bay,48.4001,-89.3168,66.18,55,75,11.5,CA,1691690574
184,waingapu,-9.6567,120.2641,72.57,82,89,6.15,ID,1691690619
185,ilulissat,69.2167,-51.1,39.16,82,99,2.62,GL,1691690620
186,am timan,11.0297,20.2827,76.51,80,78,3.6,TD,1691690620
187,elverum,60.8819,11.5623,56.62,81,87,3.42,NO,1691690366
188,port douglas,-16.4833,145.4667,70.75,75,100,14.45,AU,1691690621
189,okhotsk,59.3833,143.3,52.95,91,13,5.99,RU,1691690569
190,charlestown,-32.95,151.6667,53.73,61,0,1.01,AU,1691690622
191,puerto cabezas,14.0351,-83.3888,89.56,70,40,6.91,NI,1691690426
192,andreapol',56.6513,32.2664,59.86,66,64,3.15,RU,1691690622
193,sur,22.5667,59.5289,87.96,59,100,11.32,OM,1691690623
194,oranjemund,-28.55,16.4333,65.52,56,12,10.8,NA,1691690521
195,meadow lake,34.8014,-106.5436,85.6,37,59,7.81,US,1691690623
196,khandyga,62.6667,135.6,56.8,62,77,4.07,RU,1691690624
197,saint-pierre,-21.3393,55.4781,69.48,73,100,3.44,RE,1691690624
198,lompoc,34.6391,-120.4579,78.78,77,100,7.0,US,1691690625
199,andergrove,-21.0833,149.1833,64.35,76,7,5.19,AU,1691690625
200,san buenaventura,27.0833,-101.5333,101.32,32,0,0.0,MX,1691690625
201,vegreville,53.5001,-112.0518,65.1,72,44,14.97,CA,1691690626
202,elblag,54.1522,19.4088,65.97,61,99,2.64,PL,1691690626
203,buka,40.8108,69.1986,80.31,26,0,3.89,UZ,1691690508
204,luganville,-15.5333,167.1667,68.4,69,99,12.26,VU,1691690508
205,dunedin,-45.8742,170.5036,36.81,75,100,1.01,NZ,1691690603
206,whitehorse,60.7161,-135.0538,62.1,62,40,5.75,CA,1691690499
207,pulgaon,20.7333,78.3333,81.77,72,98,4.61,IN,1691690628
208,turaif,31.6725,38.6637,97.05,12,20,11.5,SA,1691690628
209,al kharijah,25.4514,30.5464,93.69,18,0,11.74,EG,1691690629
210,santiago de cao,-7.9589,-79.2392,71.73,83,75,10.36,PE,1691690629
211,mrakovo,52.7161,56.6244,66.02,59,8,5.44,RU,1691690629
212,formosa do rio preto,-11.0483,-45.1931,92.73,21,60,6.76,BR,1691690630
213,ambatondrazaka,-17.8333,48.4167,59.4,94,50,2.91,MG,1691690630
214,mount pearl,47.5166,-52.7813,67.86,95,100,12.66,CA,1691690630
215,anadyr,64.75,177.4833,46.9,93,100,4.47,RU,1691690507
216,coahuayana de hidalgo,18.7,-103.6583,91.83,54,99,4.54,MX,1691690631
217,georgetown,5.4112,100.3354,80.55,86,20,5.01,MY,1691690631
218,fort st. john,56.2499,-120.8529,55.29,94,100,6.91,CA,1691690632
219,kampong chhnang,12.1667,104.55,80.82,76,70,1.36,KH,1691690632
220,edd,13.9297,41.6925,92.23,63,81,6.06,ER,1691690633
221,whitinsville,42.1112,-71.6662,81.43,67,99,9.24,US,1691690633
222,'alaqahdari dishu,30.4374,63.313,93.65,14,0,16.26,AF,1691690633
223,la passe,45.5549,-0.8967,77.23,74,73,12.08,FR,1691690568
224,kruisfontein,-34.0033,24.7314,68.7,26,2,11.1,ZA,1691690634
225,aleksandrov gay,50.147,48.5704,80.17,31,3,8.52,RU,1691690634
226,jinjing,24.575,118.5972,83.21,88,100,5.5,CN,1691690635
227,lorengau,-2.0226,147.2712,80.73,80,82,13.82,PG,1691690635
228,vodnyy,63.5046,53.4095,58.71,66,4,4.03,RU,1691690635
229,la tuque,47.4334,-72.7824,73.65,68,91,6.91,CA,1691690428
230,kingston,17.997,-76.7936,92.35,75,20,21.85,JM,1691690502
231,saynshand,44.8824,110.1163,71.89,62,11,6.73,MN,1691690636
232,sault ste. marie,46.5168,-84.3333,70.09,63,40,19.57,CA,1691690501
233,kimbe,-5.5502,150.1429,74.17,80,78,9.73,PG,1691690637
234,piripiri,-4.2733,-41.7769,100.53,20,90,6.64,BR,1691690637
235,havza,40.9706,35.6622,75.81,69,20,16.11,TR,1691690637
236,myitkyina,25.3833,97.4,75.99,99,100,1.01,MM,1691690638
237,puerto baquerizo moreno,-0.9,-89.6,81.59,69,75,16.11,EC,1691690638
238,dadeldhura,29.2984,80.5806,62.82,95,95,1.74,NP,1691690639
239,kapa'a,22.0752,-159.319,82.72,80,20,12.66,US,1691690586
240,isafjordur,66.0755,-23.124,51.84,58,75,5.75,IS,1691690639
241,cururupu,-1.8283,-44.8683,86.22,58,49,7.61,BR,1691690640
242,yemetsk,63.4721,41.7941,68.22,77,10,2.86,RU,1691690640
243,aginskoye,51.1,114.53,61.25,93,100,11.27,RU,1691690641
244,lazaro cardenas,17.9583,-102.2,88.61,63,98,2.17,MX,1691690631
245,sainte-maxime,43.3,6.6333,85.12,83,44,2.1,FR,1691690642
246,pyay,18.8167,95.2167,75.07,94,100,5.28,MM,1691690643
247,warmbad,-28.45,18.7333,69.15,19,12,14.9,NA,1691690644
248,venancio aires,-29.6064,-52.1919,76.26,76,58,5.7,BR,1691690646
249,pimentel,-6.8367,-79.9342,77.29,69,75,17.27,PE,1691690647
250,kourou,5.1552,-52.6478,89.65,57,11,9.06,GF,1691690408
251,hauterive,46.0901,3.4459,84.96,48,46,4.85,FR,1691690648
252,twin falls,42.3505,-114.6445,79.14,29,0,11.5,US,1691690649
253,afaahiti,-17.75,-149.2833,75.07,65,76,16.87,PF,1691690650
254,hue,16.4667,107.6,86.11,66,20,3.44,VN,1691690433
255,trujillo,-8.116,-79.03,71.56,83,75,10.36,PE,1691690651
256,faya-largeau,17.9257,19.1043,96.84,37,7,7.31,TD,1691690651
257,presidencia de la plaza,-27.0015,-59.8424,88.27,40,47,9.28,AR,1691690651
258,hateg,45.6167,22.95,60.64,82,96,2.28,RO,1691690652
259,tongchuanshi,35.0806,109.0897,77.16,69,60,2.04,CN,1691690652
260,tostado,-29.232,-61.7692,79.99,46,82,4.0,AR,1691690653
261,malangas,7.6303,123.0317,77.02,89,100,2.62,PH,1691690653
262,prince rupert,54.3161,-130.3201,60.89,91,100,16.11,CA,1691690654
263,mexicali,32.6519,-115.4683,99.09,35,0,5.01,MX,1691690537
264,le lavandou,43.137,6.366,84.92,78,0,4.61,FR,1691690654
265,zaragoza,41.6561,-0.8773,96.03,18,0,17.27,ES,1691690655
266,greenland,43.0362,-70.8328,85.1,65,100,10.36,US,1691690655
267,muroto-misakicho,33.2833,134.15,80.38,89,6,12.48,JP,1691690656
268,muntok,-2.0667,105.1833,77.74,78,37,7.34,ID,1691690656
269,argo,37.6333,22.7333,80.78,71,43,1.86,GR,1691690657
270,kinkala,-4.3614,14.7644,82.33,49,93,6.33,CG,1691690657
271,shchuchyn,53.6014,24.7465,60.33,79,89,1.05,BY,1691690658
272,slave lake,55.2834,-114.769,57.18,88,100,16.11,CA,1691690494
273,paysandu,-32.3214,-58.0756,63.61,65,99,8.88,UY,1691690647
274,berezovyy,51.6667,135.7,55.8,85,17,2.28,RU,1691690659
275,college,64.8569,-147.8028,68.2,95,100,0.0,US,1691690660
276,gatton,-27.55,152.2833,47.21,70,0,2.06,AU,1691690660
277,jatoba,-9.1831,-38.2689,85.8,44,67,17.11,BR,1691690660
278,arhribs,36.7936,4.3116,89.11,26,3,2.53,DZ,1691690661
279,vilyuchinsk,52.9306,158.4028,48.47,87,43,3.96,RU,1691690555
280,boundiali,9.5217,-6.4869,71.42,97,100,3.22,CI,1691690662
281,garissa,-0.4536,39.6401,78.19,53,61,22.7,KE,1691690662
282,malita,6.415,125.6117,80.37,80,100,6.15,PH,1691690663
283,elbasan,41.1125,20.0822,74.12,58,44,3.36,AL,1691690663
284,midvagur,62.0511,-7.1939,54.43,87,100,14.97,FO,1691690665
285,talakan,50.3167,130.3667,59.14,88,14,1.3,RU,1691690665
286,constantia,44.1833,28.65,74.08,59,100,7.52,RO,1691690652
287,baruun-urt,46.6806,113.2792,63.18,87,48,5.91,MN,1691690666
288,karratha,-20.7377,116.8463,69.78,56,0,6.26,AU,1691690667
289,minas de marcona,-15.2119,-75.1103,65.19,58,22,16.69,PE,1691690668
290,tionk essil,12.7856,-16.5217,91.45,65,97,11.36,SN,1691690668
291,masterton,-40.9597,175.6575,35.4,98,62,3.49,NZ,1691690670
292,lagunas,-5.2269,-75.6753,97.45,37,24,1.83,PE,1691690670
293,arkhangel'sk,64.5401,40.5433,68.4,73,4,3.24,RU,1691690671
294,manokwari,-0.8667,134.0833,77.61,79,68,3.69,ID,1691690671
295,mahdia,35.5047,11.0622,82.35,59,0,9.64,TN,1691690672
296,ishigaki,24.3448,124.1572,80.73,94,75,3.44,JP,1691690672
297,fort morgan,40.2503,-103.8,84.85,37,0,8.05,US,1691690417
298,haiku-pauwela,20.9219,-156.3051,73.42,83,75,17.27,US,1691690673
299,labuan,5.2767,115.2417,79.16,89,20,0.0,MY,1691690673
300,ljusdal,61.8288,16.0913,53.11,99,100,3.78,SE,1691690674
301,gaigeturi,33.4644,126.3183,78.85,78,20,5.75,KR,1691690674
302,ta`u,-14.2336,-169.5144,81.03,76,92,13.15,AS,1691690574
303,al hufuf,25.3646,49.5653,100.74,30,0,6.91,SA,1691690675
304,pisco,-13.7,-76.2167,69.85,73,100,12.66,PE,1691690501
305,coruripe,-10.1256,-36.1756,78.46,73,10,10.94,BR,1691690676
306,garoowe,8.4054,48.4845,86.61,38,61,21.39,SO,1691690677
307,hammerfest,70.6634,23.6821,79.25,57,75,8.05,NO,1691690677
308,teuva,62.4819,21.7416,58.57,82,98,6.35,FI,1691690678
309,kongsvinger,60.1905,11.9977,63.27,53,100,2.98,NO,1691690678
310,praia da vitoria,38.7333,-27.0667,77.25,73,75,7.47,PT,1691690574
311,vorgashor,67.5833,63.95,47.23,90,29,7.9,RU,1691690499
312,mount isa,-20.7333,139.5,46.17,87,5,0.0,AU,1691690680
313,bengkulu,-3.8004,102.2655,75.18,90,59,6.58,ID,1691690680
314,opuwo,-18.0607,13.84,69.91,28,3,9.31,NA,1691690681
315,nautanwa,27.4333,83.4167,79.84,92,97,2.28,IN,1691690681
316,gorgan,36.8387,54.4348,82.36,61,0,9.22,IR,1691690681
317,tiznit,29.5833,-9.5,100.96,13,63,9.46,MA,1691690682
318,concepcion,-36.827,-73.0498,57.0,72,75,19.57,CL,1691690682
319,alice springs,-23.7,133.8833,44.15,61,0,0.0,AU,1691690683
320,funafuti,-8.5243,179.1942,84.2,84,75,9.22,TV,1691690683
321,kingsford,-33.924,151.2275,53.04,65,0,10.36,AU,1691690684
322,bati,11.1833,40.0167,74.64,49,58,2.24,ET,1691690684
323,fort dodge,42.4975,-94.168,83.53,57,0,0.0,US,1691690484
324,oued el abtal,35.456,0.6878,100.2,19,0,8.19,DZ,1691690685
325,nawabganj,24.5911,88.271,82.76,82,100,5.7,BD,1691690685
326,gueckedou,8.6667,-10.25,71.29,98,100,5.21,GN,1691690686
327,polovinnoye,54.7914,65.9864,62.38,47,71,13.42,RU,1691690686
328,khilok,51.3674,110.4676,59.04,98,98,4.7,RU,1691690686
329,umm ruwaba,12.9061,31.2158,84.85,55,32,6.91,SD,1691690687
330,lodja,-3.4833,23.4333,82.36,45,100,2.66,CD,1691690687
331,port lincoln,-34.7333,135.8667,49.68,77,31,6.13,AU,1691690688
332,salalah,17.0151,54.0924,78.89,100,100,5.75,OM,1691690688
333,el granada,37.5027,-122.4694,80.08,77,75,10.36,US,1691690547
334,jamestown,42.097,-79.2353,76.01,66,100,12.66,US,1691690671
335,piravam,9.8667,76.5,78.78,94,100,2.26,IN,1691690689
336,nizhnyaya omka,55.4338,74.9426,56.88,71,74,10.16,RU,1691690690
337,palmas,-10.2128,-48.3603,93.07,31,0,9.22,BR,1691690691
338,pudasjarvi,65.3833,26.9167,63.01,69,16,6.49,FI,1691690691
339,mumford,5.2618,-0.759,75.76,85,43,12.68,GH,1691690691
340,salekhard,66.53,66.6019,49.51,76,14,8.03,RU,1691690692
341,port shepstone,-30.7414,30.455,66.13,78,55,20.07,ZA,1691690692
342,touros,-5.1989,-35.4608,82.29,64,45,18.75,BR,1691690616
343,aquidauana,-20.4711,-55.7872,101.68,16,0,12.21,BR,1691690693
344,tolanaro,-25.0319,46.9987,64.47,94,75,2.3,MG,1691690693
345,taltal,-25.4,-70.4833,66.83,62,49,7.14,CL,1691690490
346,douglas,41.3,-96.167,86.29,65,0,9.22,US,1691690694
347,shibata,37.95,139.3333,75.36,80,0,6.55,JP,1691690694
348,pangai,-19.8,-174.35,75.31,88,75,6.91,TO,1691690695
349,labrador city,52.9463,-66.9114,60.71,77,75,8.05,CA,1691690695
350,wick,58.4333,-3.0833,60.85,82,20,10.36,GB,1691690695
351,carauari,-4.8828,-66.8958,94.06,43,25,2.82,BR,1691690696
352,west bay,19.3667,-81.4167,84.27,88,75,12.66,KY,1691690696
353,sakaiminato,35.55,133.2333,85.98,66,75,11.5,JP,1691690696
354,turkmenbasy,40.0222,52.9552,84.97,54,0,4.61,TM,1691690697
355,meerhoven,51.4427,5.411,76.86,60,4,6.91,NL,1691690697
356,mutuali,-14.8706,37.0044,65.95,64,28,6.64,MZ,1691690698
357,rio grande,-32.035,-52.0986,75.31,88,96,9.33,BR,1691690698
358,pekanbaru,0.5333,101.45,75.52,100,100,10.36,ID,1691690418
359,baikonur,45.6167,63.3167,82.96,28,4,9.19,KZ,1691690699
360,glad,7.1483,124.5181,74.82,94,100,0.2,PH,1691690699
361,castillos,-34.1667,-53.8333,65.03,77,96,9.75,UY,1691690699
362,kirensk,57.7853,108.1119,62.55,98,99,3.31,RU,1691690700
363,mirabad,30.4362,61.8383,94.26,16,0,24.09,AF,1691690700
364,apolinario saravia,-24.4328,-63.9954,88.63,22,0,11.54,AR,1691690701
